timestamp,Temperature,Pressure,Flow_Rate,pH_Value,Concentration
2025-05-28 03:05:55.681000+00:00,153.794,4.645,101.426,6.701,0.158
2025-05-28 03:06:00.681000+00:00,145.3,4.499,131.623,7.025,0.141
2025-05-28 03:06:05.681000+00:00,157.451,4.363,99.879,7.337,0.148
2025-05-28 03:06:10.681000+00:00,157.652,5.229,113.92,6.8,0.136
2025-05-28 03:06:15.681000+00:00,146.398,5.841,126.101,7.141,0.151
2025-05-28 03:06:20.681000+00:00,164.563,4.796,111.527,6.884,0.171
2025-05-28 03:06:25.681000+00:00,143.617,5.096,94.368,6.726,0.162
2025-05-28 03:06:30.681000+00:00,143.451,4.43,93.144,7.142,0.156
2025-05-28 03:06:35.681000+00:00,139.279,4.325,93.329,5.925,0.206
2025-05-28 03:06:40.681000+00:00,157.263,3.895,89.697,7.028,0.148
2025-05-28 03:06:45.681000+00:00,156.497,4.256,86.675,7.168,0.15
2025-05-28 03:06:50.681000+00:00,153.061,5.958,75.023,7.031,0.14
2025-05-28 03:06:55.681000+00:00,149.556,5.302,105.276,6.789,0.157
2025-05-28 03:07:00.681000+00:00,145.112,5.786,101.172,7.046,0.137
2025-05-28 03:07:05.681000+00:00,143.536,5.342,108.513,7.004,0.139
2025-05-28 03:07:10.681000+00:00,146.754,4.485,132.52,7.187,0.143
2025-05-28 03:07:15.681000+00:00,156.828,4.744,91.753,6.926,0.138
2025-05-28 03:07:20.681000+00:00,155.25,4.744,113.465,6.908,0.147
2025-05-28 03:07:25.681000+00:00,150.636,5.006,76.872,7.466,0.131
2025-05-28 03:07:30.681000+00:00,158.7,5.245,82.959,5.916,0.145
2025-05-28 03:07:35.681000+00:00,151.767,4.497,98.123,6.928,0.134
2025-05-28 03:07:40.681000+00:00,141.819,5.747,109.054,7.146,0.161
2025-05-28 03:07:45.681000+00:00,144.778,4.616,81.223,6.946,0.141
2025-05-28 03:07:50.681000+00:00,152.036,4.981,109.156,6.989,0.148
2025-05-28 03:07:55.681000+00:00,145.009,3.938,94.495,7.255,0.141
2025-05-28 03:08:00.681000+00:00,151.334,5.574,95.272,7.429,0.141
2025-05-28 03:08:05.681000+00:00,152.707,7.177,105.417,6.635,0.151
2025-05-28 03:08:10.681000+00:00,153.917,4.642,108.007,6.786,0.158
2025-05-28 03:08:15.681000+00:00,159.32,4.84,112.418,6.96,0.16
2025-05-28 03:08:20.681000+00:00,159.216,4.876,111.176,6.835,0.217
2025-05-28 03:08:25.681000+00:00,153.936,5.595,102.737,5.412,0.147
2025-05-28 03:08:30.681000+00:00,143.084,5.217,114.591,7.039,0.152
2025-05-28 03:08:35.681000+00:00,152.578,4.599,77.989,6.822,0.171
2025-05-28 03:08:40.681000+00:00,153.278,4.739,95.093,7.006,0.143
2025-05-28 03:08:45.681000+00:00,151.08,4.861,96.961,7.295,0.17
2025-05-28 03:08:50.681000+00:00,153.255,4.741,82.936,7.056,0.152
2025-05-28 03:08:55.681000+00:00,146.686,4.248,107.436,6.777,0.163
2025-05-28 03:09:00.681000+00:00,155.286,5.532,111.827,6.728,0.146
2025-05-28 03:09:05.681000+00:00,143.478,4.252,102.394,6.945,0.142
2025-05-28 03:09:10.681000+00:00,143.14,5.627,88.037,7.041,0.167
2025-05-28 03:09:15.681000+00:00,154.826,5.228,98.341,7.044,0.158
2025-05-28 03:09:20.681000+00:00,147.376,5.182,88.705,7.2,0.158
2025-05-28 03:09:25.681000+00:00,144.006,5.66,97.506,7.029,0.145
2025-05-28 03:09:30.681000+00:00,148.91,4.955,92.966,7.339,0.145
2025-05-28 03:09:35.681000+00:00,138.892,4.656,101.5,5.951,0.148
2025-05-28 03:09:40.681000+00:00,150.268,5.53,98.958,6.853,0.141
2025-05-28 03:09:45.681000+00:00,155.353,4.818,93.914,6.861,0.145
2025-05-28 03:09:50.681000+00:00,150.51,4.501,113.289,6.743,0.173
2025-05-28 03:09:55.681000+00:00,150.907,4.284,104.958,6.722,0.139
2025-05-28 03:10:00.681000+00:00,150.914,5.284,100.287,5.973,0.154
2025-05-28 03:10:05.681000+00:00,141.797,5.702,99.999,6.775,0.155
2025-05-28 03:10:10.681000+00:00,152.349,5.258,122.204,6.705,0.206
2025-05-28 03:10:15.681000+00:00,146.293,4.139,98.744,7.056,0.15
2025-05-28 03:10:20.681000+00:00,155.565,4.923,100.838,7.022,0.146
2025-05-28 03:10:25.681000+00:00,145.158,6.01,106.221,6.965,0.167
2025-05-28 03:10:30.681000+00:00,146.068,5.162,105.227,6.664,0.17
2025-05-28 03:10:35.681000+00:00,157.048,5.749,99.636,6.888,0.148
2025-05-28 03:10:40.681000+00:00,150.043,5.543,104.296,7.129,0.144
2025-05-28 03:10:45.681000+00:00,154.327,5.015,103.934,6.969,0.143
2025-05-28 03:10:50.681000+00:00,145.831,5.17,107.581,7.01,0.14
2025-05-28 03:10:55.681000+00:00,163.725,6.187,99.344,6.449,0.149
2025-05-28 03:11:00.681000+00:00,143.653,4.592,94.315,7.22,0.167
2025-05-28 03:11:05.681000+00:00,150.382,6.89,98.743,6.937,0.143
2025-05-28 03:11:10.681000+00:00,146.574,4.682,97.211,7.053,0.163
2025-05-28 03:11:15.681000+00:00,145.823,4.61,102.937,7.268,0.144
2025-05-28 03:11:20.681000+00:00,148.59,5.538,92.496,7.071,0.152
2025-05-28 03:11:25.681000+00:00,152.366,5.096,116.722,7.087,0.153
2025-05-28 03:11:30.681000+00:00,146.15,5.573,88.636,7.163,0.158
2025-05-28 03:11:35.681000+00:00,152.716,4.949,89.326,6.867,0.14
2025-05-28 03:11:40.681000+00:00,144.447,5.742,90.862,7.302,0.15
2025-05-28 03:11:45.681000+00:00,149.473,5.511,96.765,6.767,0.143
2025-05-28 03:11:50.681000+00:00,145.774,4.196,90.405,7.251,0.151
2025-05-28 03:11:55.681000+00:00,141.26,6.155,92.29,7.221,0.156
2025-05-28 03:12:00.681000+00:00,147.588,4.973,106.331,7.013,0.147
2025-05-28 03:12:05.681000+00:00,143.883,5.558,105.326,6.77,0.16
2025-05-28 03:12:10.681000+00:00,152.02,4.971,93.379,6.796,0.147
2025-05-28 03:12:15.681000+00:00,147.529,5.843,97.309,7.155,0.159
2025-05-28 03:12:20.681000+00:00,146.841,5.549,116.046,6.788,0.137
2025-05-28 03:12:25.681000+00:00,151.952,4.834,99.74,6.854,0.148
2025-05-28 03:12:30.681000+00:00,159.803,4.674,109.519,6.737,0.155
2025-05-28 03:12:35.681000+00:00,154.219,4.904,109.634,6.808,0.143
2025-05-28 03:12:40.681000+00:00,152.771,4.553,86.098,7.255,0.134
2025-05-28 03:12:45.681000+00:00,151.982,5.174,91.895,6.364,0.147
2025-05-28 03:12:50.681000+00:00,153.74,5.303,97.063,6.904,0.169
2025-05-28 03:12:55.681000+00:00,146.858,5.195,96.076,7.228,0.131
2025-05-28 03:13:00.681000+00:00,150.897,5.724,91.12,6.814,0.161
2025-05-28 03:13:05.681000+00:00,142.475,4.853,100.597,7.051,0.2
2025-05-28 03:13:10.681000+00:00,145.264,4.981,95.658,6.914,0.134
2025-05-28 03:13:15.681000+00:00,144.123,4.315,104.652,7.022,0.149
2025-05-28 03:13:20.681000+00:00,156.664,4.014,105.189,6.961,0.158
2025-05-28 03:13:25.681000+00:00,149.481,5.604,107.392,7.197,0.131
2025-05-28 03:13:30.681000+00:00,148.444,4.994,90.65,7.062,0.153
2025-05-28 03:13:35.681000+00:00,142.534,5.384,113.396,7.171,0.159
2025-05-28 03:13:40.681000+00:00,152.075,3.942,104.037,7.325,0.165
2025-05-28 03:13:45.681000+00:00,156.721,5.683,102.566,6.983,0.156
2025-05-28 03:13:50.681000+00:00,152.292,6.11,110.464,6.851,0.136
2025-05-28 03:13:55.681000+00:00,149.888,5.065,89.109,7.288,0.161
2025-05-28 03:14:00.681000+00:00,142.999,5.03,92.375,7.075,0.145
2025-05-28 03:14:05.681000+00:00,148.829,4.79,85.044,7.062,0.136
2025-05-28 03:14:10.681000+00:00,155.627,4.824,116.411,6.812,0.152
2025-05-28 03:14:15.681000+00:00,157.058,5.237,108.015,6.966,0.157
2025-05-28 03:14:20.681000+00:00,146.097,4.416,101.865,6.898,0.175
2025-05-28 03:14:25.681000+00:00,156.525,4.729,87.432,6.57,0.145
2025-05-28 03:14:30.681000+00:00,150.342,4.664,90.731,7.036,0.153
2025-05-28 03:14:35.681000+00:00,158.836,5.325,102.413,6.652,0.151
2025-05-28 03:14:40.681000+00:00,149.656,5.252,102.928,6.908,0.151
2025-05-28 03:14:45.681000+00:00,144.557,5.979,114.672,6.993,0.149
2025-05-28 03:14:50.681000+00:00,142.811,4.572,101.1,7.018,0.209
2025-05-28 03:14:55.681000+00:00,149.527,4.949,114.128,7.304,0.215
2025-05-28 03:15:00.681000+00:00,146.207,4.859,100.744,6.79,0.145
2025-05-28 03:15:05.681000+00:00,154.113,4.297,89.6,7.305,0.163
2025-05-28 03:15:10.681000+00:00,148.757,4.745,121.566,7.401,0.144
2025-05-28 03:15:15.681000+00:00,146.655,4.98,94.656,6.734,0.147
2025-05-28 03:15:20.681000+00:00,149.702,4.873,100.824,6.917,0.155
2025-05-28 03:15:25.681000+00:00,157.725,5.113,103.049,6.857,0.144
2025-05-28 03:15:30.681000+00:00,146.468,5.753,90.283,6.82,0.148
2025-05-28 03:15:35.681000+00:00,147.332,4.85,101.221,7.087,0.144
2025-05-28 03:15:40.681000+00:00,150.306,5.23,103.972,6.892,0.166
2025-05-28 03:15:45.681000+00:00,154.144,5.175,95.018,6.953,0.146
2025-05-28 03:15:50.681000+00:00,158.395,5.498,93.164,5.752,0.145
2025-05-28 03:15:55.681000+00:00,150.56,5.784,105.715,6.877,0.143
2025-05-28 03:16:00.681000+00:00,144.695,5.002,110.868,7.02,0.153
2025-05-28 03:16:05.681000+00:00,153.622,4.934,102.895,6.905,0.163
2025-05-28 03:16:10.681000+00:00,146.861,4.233,103.116,7.082,0.174
2025-05-28 03:16:15.681000+00:00,149.298,5.019,99.612,6.821,0.154
2025-05-28 03:16:20.681000+00:00,150.865,4.995,94.079,6.934,0.155
2025-05-28 03:16:25.681000+00:00,150.982,5.483,95.623,6.952,0.147
2025-05-28 03:16:30.681000+00:00,166.473,4.868,105.146,7.041,0.139
2025-05-28 03:16:35.681000+00:00,149.165,5.641,87.303,6.949,0.139
2025-05-28 03:16:40.681000+00:00,154.081,5.778,93.619,7.28,0.135
2025-05-28 03:16:45.681000+00:00,154.268,3.731,93.768,6.815,0.153
2025-05-28 03:16:50.681000+00:00,146.981,4.854,113.882,7.018,0.151
2025-05-28 03:16:55.681000+00:00,148.295,5.433,97.238,6.87,0.149
2025-05-28 03:17:00.681000+00:00,154.864,4.995,94.322,7.076,0.156
2025-05-28 03:17:05.681000+00:00,150.523,4.327,120.077,6.833,0.135
2025-05-28 03:17:10.681000+00:00,152.907,4.995,96.816,6.891,0.15
2025-05-28 03:17:15.681000+00:00,153.538,4.916,92.496,7.112,0.153
2025-05-28 03:17:20.681000+00:00,154.088,5.325,113.576,6.902,0.155
2025-05-28 03:17:25.681000+00:00,149.437,4.674,103.738,6.611,0.156
2025-05-28 03:17:30.681000+00:00,149.069,4.943,119.38,7.046,0.138
2025-05-28 03:17:35.681000+00:00,149.344,5.002,103.385,7.072,0.146
2025-05-28 03:17:40.681000+00:00,148.963,4.979,115.412,7.041,0.143
2025-05-28 03:17:45.681000+00:00,146.586,5.263,109.003,7.312,0.159
2025-05-28 03:17:50.681000+00:00,150.015,5.305,112.698,6.866,0.149
2025-05-28 03:17:55.681000+00:00,153.891,4.938,93.822,6.967,0.154
2025-05-28 03:18:00.681000+00:00,156.362,5.758,91.79,6.728,0.151
2025-05-28 03:18:05.681000+00:00,145.631,5.445,98.714,7.062,0.156
2025-05-28 03:18:10.681000+00:00,155.659,4.394,117.519,7.233,0.144
2025-05-28 03:18:15.681000+00:00,148.664,4.751,77.568,6.994,0.169
2025-05-28 03:18:20.681000+00:00,150.564,5.338,100.403,7.159,0.141
2025-05-28 03:18:25.681000+00:00,153.958,4.851,100.003,7.104,0.153
2025-05-28 03:18:30.681000+00:00,153.2,4.393,95.585,7.09,0.145
2025-05-28 03:18:35.681000+00:00,145.043,5.378,83.244,6.874,0.143
2025-05-28 03:18:40.681000+00:00,143.361,4.654,97.968,7.04,0.215
2025-05-28 03:18:45.681000+00:00,146.108,4.702,86.001,6.931,0.137
2025-05-28 03:18:50.681000+00:00,145.504,5.475,84.453,5.336,0.165
2025-05-28 03:18:55.681000+00:00,153.617,5.388,93.807,7.126,0.152
2025-05-28 03:19:00.681000+00:00,145.71,4.546,109.833,6.786,0.155
2025-05-28 03:19:05.681000+00:00,143.656,5.428,106.887,6.911,0.164
2025-05-28 03:19:10.681000+00:00,142.666,4.141,107.285,7.036,0.156
2025-05-28 03:19:15.681000+00:00,153.447,5.525,106.095,6.963,0.143
2025-05-28 03:19:20.681000+00:00,147.635,4.792,102.271,6.737,0.163
2025-05-28 03:19:25.681000+00:00,159.188,4.992,124.885,7.35,0.154
2025-05-28 03:19:30.681000+00:00,157.845,4.865,101.832,6.692,0.135
2025-05-28 03:19:35.681000+00:00,162.955,4.179,80.286,7.112,0.145
2025-05-28 03:19:40.681000+00:00,154.467,4.075,86.88,6.97,0.146
2025-05-28 03:19:45.681000+00:00,152.685,4.87,108.358,7.04,0.137
2025-05-28 03:19:50.681000+00:00,146.458,4.871,115.628,6.98,0.148
2025-05-28 03:19:55.681000+00:00,151.625,5.087,82.12,7.167,0.152
2025-05-28 03:20:00.681000+00:00,150.561,5.266,85.71,7.02,0.151
2025-05-28 03:20:05.681000+00:00,148.377,4.172,106.98,6.851,0.135
2025-05-28 03:20:10.681000+00:00,150.119,5.305,105.437,7.292,0.159
2025-05-28 03:20:15.681000+00:00,143.369,4.665,92.622,7.21,0.151
2025-05-28 03:20:20.681000+00:00,136.976,5.193,84.732,7.18,0.154
2025-05-28 03:20:25.681000+00:00,153.985,4.012,108.185,6.587,0.155
2025-05-28 03:20:30.681000+00:00,148.524,4.584,91.085,7.015,0.145
2025-05-28 03:20:35.681000+00:00,145.796,4.431,109.7,7.034,0.15
2025-05-28 03:20:40.681000+00:00,152.822,5.139,88.22,7.319,0.202
2025-05-28 03:20:45.681000+00:00,152.681,4.333,89.528,6.788,0.159
2025-05-28 03:20:50.681000+00:00,145.701,4.598,91.602,7.051,0.14
2025-05-28 03:20:55.681000+00:00,152.676,5.313,95.304,6.882,0.168
2025-05-28 03:21:00.681000+00:00,148.422,5.776,87.485,6.792,0.135
2025-05-28 03:21:05.681000+00:00,147.042,4.833,106.793,7.402,0.144
2025-05-28 03:21:10.681000+00:00,147.425,4.696,112.549,6.612,0.149
2025-05-28 03:21:15.681000+00:00,149.538,6.183,97.308,6.88,0.154
2025-05-28 03:21:20.681000+00:00,153.862,5.792,125.964,6.602,0.165
2025-05-28 03:21:25.681000+00:00,152.648,5.069,112.588,6.889,0.144
2025-05-28 03:21:30.681000+00:00,157.005,5.107,99.739,7.061,0.154
2025-05-28 03:21:35.681000+00:00,150.596,4.718,101.397,6.839,0.14
2025-05-28 03:21:40.681000+00:00,146.117,5.215,89.908,6.97,0.152
2025-05-28 03:21:45.681000+00:00,157.541,5.192,102.076,6.959,0.151
2025-05-28 03:21:50.681000+00:00,149.962,4.911,105.479,6.786,0.129
2025-05-28 03:21:55.681000+00:00,153.432,4.582,86.99,6.789,0.147
2025-05-28 03:22:00.681000+00:00,154.003,4.672,106.696,7.082,0.157
2025-05-28 03:22:05.681000+00:00,159.177,4.93,84.373,7.104,0.147
2025-05-28 03:22:10.681000+00:00,149.489,4.921,110.456,6.745,0.137
2025-05-28 03:22:15.681000+00:00,139.873,4.282,104.082,7.191,0.22
2025-05-28 03:22:20.681000+00:00,152.242,4.432,100.139,7.546,0.157
2025-05-28 03:22:25.681000+00:00,145.247,5.161,100.564,7.084,0.158
2025-05-28 03:22:30.681000+00:00,146.96,5.514,77.341,7.336,0.148
2025-05-28 03:22:35.681000+00:00,141.574,5.11,87.437,7.144,0.137
2025-05-28 03:22:40.681000+00:00,144.057,7.275,99.802,7.089,0.159
2025-05-28 03:22:45.681000+00:00,145.774,6.103,98.368,7.228,0.141
2025-05-28 03:22:50.681000+00:00,141.267,4.707,97.781,7.174,0.138
2025-05-28 03:22:55.681000+00:00,154.249,4.985,89.384,7.516,0.152
2025-05-28 03:23:00.681000+00:00,152.315,4.729,113.338,6.779,0.151
2025-05-28 03:23:05.681000+00:00,151.662,5.246,113.025,6.871,0.149
2025-05-28 03:23:10.681000+00:00,155.577,4.633,77.7,7.185,0.144
2025-05-28 03:23:15.681000+00:00,162.215,5.359,93.944,7.158,0.15
2025-05-28 03:23:20.681000+00:00,155.352,4.582,104.978,6.918,0.133
2025-05-28 03:23:25.681000+00:00,155.444,4.701,95.734,7.05,0.16
2025-05-28 03:23:30.681000+00:00,149.492,5.447,104.907,6.819,0.164
2025-05-28 03:23:35.681000+00:00,153.437,4.756,94.436,7.277,0.155
2025-05-28 03:23:40.681000+00:00,146.655,5.223,112.066,7.156,0.154
2025-05-28 03:23:45.681000+00:00,157.295,4.908,90.459,7.196,0.138
2025-05-28 03:23:50.681000+00:00,148.876,4.671,128.173,7.172,0.15
2025-05-28 03:23:55.681000+00:00,149.561,5.125,85.135,6.997,0.151
2025-05-28 03:24:00.681000+00:00,144.101,4.201,116.894,7.145,0.213
2025-05-28 03:24:05.681000+00:00,160.348,3.782,108.663,7.001,0.144
2025-05-28 03:24:10.681000+00:00,153.022,5.617,105.562,6.861,0.156
2025-05-28 03:24:15.681000+00:00,154.03,4.665,83.021,6.817,0.159
2025-05-28 03:24:20.681000+00:00,146.587,4.801,95.809,6.903,0.146
2025-05-28 03:24:25.681000+00:00,146.575,5.148,90.089,6.861,0.164
2025-05-28 03:24:30.681000+00:00,149.371,4.694,93.654,6.976,0.173
2025-05-28 03:24:35.681000+00:00,154.511,5.584,102.652,6.875,0.143
2025-05-28 03:24:40.681000+00:00,151.839,5.025,81.572,7.236,0.146
2025-05-28 03:24:45.681000+00:00,146.708,5.045,116.795,7.333,0.147
2025-05-28 03:24:50.681000+00:00,142.622,5.119,101.25,7.111,0.156
2025-05-28 03:24:55.681000+00:00,146.351,5.649,78.336,7.273,0.157
2025-05-28 03:25:00.681000+00:00,155.463,5.239,109.279,7.056,0.168
2025-05-28 03:25:05.681000+00:00,146.712,5.69,108.368,7.345,0.167
2025-05-28 03:25:10.681000+00:00,142.779,5.354,104.816,6.941,0.15
2025-05-28 03:25:15.681000+00:00,149.467,5.624,104.881,6.98,0.133
2025-05-28 03:25:20.681000+00:00,143.607,4.676,102.345,7.246,0.139
2025-05-28 03:25:25.681000+00:00,155.726,5.4,107.781,6.931,0.149
2025-05-28 03:25:30.681000+00:00,163.456,5.453,90.415,7.187,0.154
2025-05-28 03:25:35.681000+00:00,151.866,4.795,123.225,7.015,0.16
2025-05-28 03:25:40.681000+00:00,147.849,5.401,105.963,7.217,0.165
2025-05-28 03:25:45.681000+00:00,149.342,4.821,94.59,6.982,0.136
2025-05-28 03:25:50.681000+00:00,152.149,3.904,96.656,7.073,0.142
2025-05-28 03:25:55.681000+00:00,149.229,4.333,73.097,7.183,0.157
2025-05-28 03:26:00.681000+00:00,156.977,5.304,90.167,6.714,0.13
2025-05-28 03:26:05.681000+00:00,155.809,5.327,99.659,7.079,0.149
2025-05-28 03:26:10.681000+00:00,147.774,5.627,87.415,6.914,0.135
2025-05-28 03:26:15.681000+00:00,153.044,4.493,89.276,7.065,0.145
2025-05-28 03:26:20.681000+00:00,160.198,5.242,95.962,6.92,0.158
2025-05-28 03:26:25.681000+00:00,149.58,4.74,82.477,7.2,0.141
2025-05-28 03:26:30.681000+00:00,150.364,4.378,93.994,6.967,0.154
2025-05-28 03:26:35.681000+00:00,155.339,5.144,87.016,6.976,0.154
2025-05-28 03:26:40.681000+00:00,143.655,4.475,107.216,7.103,0.158
2025-05-28 03:26:45.681000+00:00,144.923,4.467,81.399,6.872,0.145
2025-05-28 03:26:50.681000+00:00,142.056,5.468,104.157,6.997,0.147
2025-05-28 03:26:55.681000+00:00,151.765,4.101,101.107,7.114,0.134
2025-05-28 03:27:00.681000+00:00,149.107,5.6,94.587,6.86,0.21
2025-05-28 03:27:05.681000+00:00,143.595,5.199,86.131,6.807,0.139
2025-05-28 03:27:10.681000+00:00,153.171,5.059,109.337,7.153,0.154
2025-05-28 03:27:15.681000+00:00,149.248,5.237,106.733,7.077,0.172
2025-05-28 03:27:20.681000+00:00,145.846,5.457,105.961,6.828,0.165
2025-05-28 03:27:25.681000+00:00,167.004,5.031,118.73,6.964,0.147
2025-05-28 03:27:30.681000+00:00,148.246,4.525,106.88,7.201,0.134
2025-05-28 03:27:35.681000+00:00,158.769,4.628,105.374,7.293,0.142
2025-05-28 03:27:40.681000+00:00,144.759,4.716,97.1,7.135,0.15
2025-05-28 03:27:45.681000+00:00,151.487,4.983,88.585,7.121,0.158
2025-05-28 03:27:50.681000+00:00,156.585,5.15,87.426,6.638,0.16
2025-05-28 03:27:55.681000+00:00,144.739,4.428,116.066,6.765,0.157
2025-05-28 03:28:00.681000+00:00,149.949,4.674,106.042,7.402,0.163
2025-05-28 03:28:05.681000+00:00,151.158,3.912,109.927,6.72,0.133
2025-05-28 03:28:10.681000+00:00,148.651,4.806,81.755,7.036,0.165
2025-05-28 03:28:15.681000+00:00,155.526,4.647,89.192,7.027,0.156
2025-05-28 03:28:20.681000+00:00,144.398,5.226,89.389,6.829,0.156
2025-05-28 03:28:25.681000+00:00,150.379,4.879,99.592,7.117,0.145
2025-05-28 03:28:30.681000+00:00,147.579,5.235,81.88,7.164,0.145
2025-05-28 03:28:35.681000+00:00,148.451,4.058,96.072,7.297,0.167
2025-05-28 03:28:40.681000+00:00,149.404,4.871,94.665,6.841,0.168
2025-05-28 03:28:45.681000+00:00,162.597,5.254,97.953,6.774,0.152
2025-05-28 03:28:50.681000+00:00,149.275,4.717,91.379,6.873,0.161
2025-05-28 03:28:55.681000+00:00,149.905,4.43,114.307,7.005,0.15
2025-05-28 03:29:00.681000+00:00,151.719,4.94,104.202,7.221,0.162
2025-05-28 03:29:05.681000+00:00,158.587,4.37,97.872,6.574,0.147
2025-05-28 03:29:10.681000+00:00,147.882,5.393,98.524,7.298,0.161
2025-05-28 03:29:15.681000+00:00,149.398,4.909,106.12,7.05,0.155
2025-05-28 03:29:20.681000+00:00,146.63,4.928,93.992,7.131,0.138
2025-05-28 03:29:25.681000+00:00,157.357,4.595,104.098,7.222,0.157
2025-05-28 03:29:30.681000+00:00,147.774,4.675,105.679,6.823,0.153
2025-05-28 03:29:35.681000+00:00,148.264,6.515,94.346,6.964,0.156
2025-05-28 03:29:40.681000+00:00,144.954,4.709,110.542,6.588,0.159
2025-05-28 03:29:45.681000+00:00,158.16,4.956,99.297,6.834,0.157
2025-05-28 03:29:50.681000+00:00,138.867,5.437,94.597,7.081,0.146
2025-05-28 03:29:55.681000+00:00,158.962,5.684,104.239,6.895,0.141
2025-05-28 03:30:00.681000+00:00,145.877,5.091,92.015,7.238,0.148
2025-05-28 03:30:05.681000+00:00,147.916,5.347,103.728,6.531,0.153
2025-05-28 03:30:10.681000+00:00,140.883,5.207,106.396,6.743,0.149
2025-05-28 03:30:15.681000+00:00,149.02,5.582,111.895,6.933,0.137
2025-05-28 03:30:20.681000+00:00,144.934,5.435,94.689,6.992,0.137
2025-05-28 03:30:25.681000+00:00,154.312,5.114,107.652,7.095,0.14
2025-05-28 03:30:30.681000+00:00,148.185,5.492,88.698,7.004,0.153
2025-05-28 03:30:35.681000+00:00,149.234,5.216,104.521,7.163,0.164
2025-05-28 03:30:40.681000+00:00,144.488,5.255,91.273,6.737,0.157
2025-05-28 03:30:45.681000+00:00,143.491,4.886,86.823,7.235,0.138
2025-05-28 03:30:50.681000+00:00,153.627,3.948,97.707,7.103,0.15
2025-05-28 03:30:55.681000+00:00,150.048,4.873,100.352,6.747,0.16
2025-05-28 03:31:00.681000+00:00,157.268,6.614,96.33,7.079,0.148
2025-05-28 03:31:05.681000+00:00,153.111,5.161,106.304,6.957,0.156
2025-05-28 03:31:10.681000+00:00,154.175,5.406,117.129,6.978,0.143
2025-05-28 03:31:15.681000+00:00,143.757,5.046,91.021,6.79,0.147
2025-05-28 03:31:20.681000+00:00,148.34,4.849,100.209,6.956,0.159
2025-05-28 03:31:25.681000+00:00,146.304,5.491,90.001,6.8,0.144
2025-05-28 03:31:30.681000+00:00,157.612,3.977,122.84,6.542,0.157
2025-05-28 03:31:35.681000+00:00,141.524,5.253,92.431,7.279,0.149
2025-05-28 03:31:40.681000+00:00,157.216,4.923,106.918,6.946,0.145
